pub_time,count
1970-01-01,6032
2023-10-29,134
2023-08-31,119
2022-12-13,118
2023-01-06,118
2023-08-22,114
2023-08-30,114
2023-02-27,113
2023-11-26,112
2023-05-29,112
2023-08-17,112
2023-11-07,110
2023-07-26,108
2023-07-19,107
2023-10-28,106
2022-01-09,106
2023-10-18,104
2022-12-15,104
2023-11-30,104
2022-08-12,103
2023-03-08,103
2023-03-09,103
2023-12-06,102
2023-08-21,101
2022-11-14,101
2023-02-08,101
2023-11-15,101
2023-05-30,101
2023-09-28,101
2023-08-20,100
2023-07-30,100
2023-11-20,100
2023-06-22,100
2023-11-19,99
2023-10-09,99
2022-08-30,99
2022-10-11,99
2023-09-27,99
2023-03-14,99
2023-09-10,99
2023-07-16,99
2023-07-08,99
2023-06-11,98
2023-08-29,98
2023-10-15,98
2023-09-24,98
2023-09-11,98
2023-01-14,97
2023-08-02,97
2022-09-28,97
2023-06-08,97
2023-03-23,97
2022-01-23,97
2023-10-19,96
2022-07-31,96
2022-07-09,96
2022-11-30,95
2023-08-23,95
2023-11-18,94
2022-09-19,94
2022-08-28,94
2022-07-25,94
2023-01-19,94
2022-12-14,93
2023-06-21,93
2023-10-31,93
2023-08-14,93
2022-08-11,93
2022-04-12,93
2023-12-11,93
2023-08-06,92
2023-05-10,92
2023-11-21,92
2022-08-31,92
2022-11-10,92
2022-11-29,92
2023-12-03,92
2022-04-08,92
2023-07-25,92
2023-02-04,92
2022-11-08,92
2023-09-17,91
2023-11-16,91
2023-02-28,90
2023-10-27,90
2023-10-26,90
2023-01-08,90
2023-11-22,90
2023-06-26,90
2023-05-06,90
2023-06-06,90
2023-02-11,90
2023-10-14,90
2023-11-28,90
2023-05-11,89
2022-07-21,89
2023-05-31,89
2023-07-13,89
2023-07-11,89
2023-08-08,89
2023-03-13,89
2022-10-12,89
2023-08-27,89
2022-02-11,88
2023-08-25,88
2022-06-12,88
2023-05-23,88
2023-09-23,88
2023-07-06,88
2023-06-15,88
2022-09-18,88
2022-11-27,88
2023-11-09,88
2022-03-10,88
2023-08-13,87
2023-02-09,87
2023-09-19,87
2022-10-23,87
2023-10-25,87
2023-02-16,87
2023-05-21,87
2022-10-25,87
2023-05-17,86
2022-11-12,86
2023-09-30,86
2023-03-30,86
2023-08-28,86
2023-03-10,86
2023-06-18,86
2021-03-06,86
2023-10-01,86
2023-01-25,86
2023-01-23,86
2022-06-11,86
2023-11-24,86
2023-10-16,86
2023-01-17,86
2023-12-07,85
2022-11-28,85
2023-06-03,85
2023-11-01,85
2022-12-09,85
2023-06-13,85
2023-11-10,85
2023-01-09,85
2022-08-29,85
2023-10-21,85
2023-09-26,85
2023-06-14,85
2023-10-08,84
2022-11-17,84
2023-11-29,84
2023-11-06,84
2022-07-12,84
2023-02-20,84
2022-10-20,84
2022-01-08,84
2022-08-22,84
2023-08-16,84
2023-06-07,84
2023-09-03,84
2023-01-03,84
2023-12-09,83
2022-09-11,83
2023-11-14,83
2021-10-26,83
2022-11-16,83
2022-11-21,83
2023-04-08,83
2023-09-25,83
2023-10-10,83
2023-01-11,83
2022-09-20,82
2022-12-29,82
2022-01-24,82
2023-06-17,82
2023-07-10,82
2023-06-09,82
2023-09-07,82
2023-07-18,82
2023-05-04,82
2023-09-15,82
2023-01-31,82
2022-07-28,82
2022-09-29,82
2023-04-12,82
2023-08-11,82
2023-07-29,81
2023-09-13,81
2023-01-30,81
2022-07-26,81
2023-07-28,81
2023-09-09,81
2023-12-01,81
2022-10-26,81
2022-03-08,81
2023-04-10,81
2022-07-17,80
2023-06-20,80
2023-06-19,80
2020-02-09,80
2023-01-24,80
2020-03-03,80
2023-04-06,80
2023-09-20,80
2023-09-14,80
2023-05-22,80
2023-08-26,80
2020-10-02,80
2023-02-19,80
2023-05-28,80
2022-07-23,80
2022-09-12,80
2022-08-16,80
2022-11-24,80
2023-01-13,79
2023-01-18,79
2022-07-14,79
2022-08-09,79
2022-10-09,79
2022-06-09,79
2022-12-10,79
2023-03-12,79
2022-08-23,79
2022-10-17,79
2023-09-04,79
2023-10-17,79
2023-08-18,79
2023-01-29,79
2023-08-07,78
2023-02-06,78
2023-12-10,78
2023-04-27,78
2023-02-02,78
2022-11-15,78
2023-08-19,78
2022-06-07,78
2023-11-25,78
2023-07-31,78
2022-01-12,78
2023-03-28,78
2022-01-11,78
2023-11-11,78
2023-07-02,78
2022-09-21,78
2023-01-12,78
2023-05-02,77
2023-05-07,77
2023-04-09,77
2022-06-23,77
2022-10-28,77
2022-07-24,77
2022-07-20,77
2021-11-24,77
2022-08-25,77
2022-11-13,77
2022-03-28,77
2023-07-17,77
2022-07-18,77
2023-10-07,77
2022-08-15,77
2022-11-23,77
2022-07-08,77
2023-11-27,77
2023-10-04,76
2023-01-28,76
2020-01-19,76
2023-10-24,76
2023-12-08,76
2023-10-23,76
2023-05-18,76
2022-04-09,76
2023-09-18,76
2023-09-16,76
2023-08-15,76
2023-05-01,76
2023-06-25,76
2023-03-29,76
2022-10-08,76
2022-01-27,76
2023-02-23,75
2022-05-09,75
2022-01-31,75
2023-03-27,75
2023-01-16,75
2023-07-20,75
2023-11-23,75
2022-07-11,75
2022-01-18,75
2023-06-04,75
2022-08-17,75
2022-09-25,75
2023-09-08,75
2023-09-01,75
2022-10-10,75
2023-01-02,74
2023-03-04,74
2023-05-20,74
2022-08-18,74
2023-08-01,74
2021-11-15,74
2021-05-10,74
2023-03-26,74
2023-01-10,74
2023-11-04,74
2021-09-26,74
2022-12-24,74
2020-09-02,74
2022-06-10,74
2023-05-09,74
2023-12-02,74
2022-06-15,74
2023-02-10,73
2022-09-14,73
2023-04-13,73
2021-11-25,73
2022-10-18,73
2023-07-22,73
2023-02-26,73
2023-09-21,73
2021-12-10,73
2022-11-22,73
2023-05-24,73
2023-02-22,73
2021-09-28,73
2022-10-16,73
2023-04-18,73
2022-09-06,73
2022-12-12,73
2023-08-10,73
2022-10-31,73
2022-10-19,72
2022-12-26,72
2023-02-25,72
2022-08-24,72
2022-12-18,72
2022-03-12,72
2023-01-15,72
2023-07-15,72
2022-03-11,72
2023-04-25,72
2022-11-20,72
2023-05-03,72
2023-01-27,72
2022-11-09,72
2022-07-19,72
2023-07-03,72
2021-09-12,72
2023-08-24,71
2023-11-08,71
2022-02-24,71
2022-12-11,71
2022-12-21,71
2022-10-30,71
2023-02-12,71
2022-04-20,71
2023-04-03,71
2023-03-22,71
2023-03-20,71
2023-03-19,71
2023-09-22,71
2022-02-10,71
2023-01-20,71
2023-03-16,71
2023-10-11,71
2021-06-29,71
2022-05-12,71
2023-09-05,70
2023-01-26,70
2022-08-21,70
2023-10-13,70
2021-09-27,70
2023-02-14,70
2022-10-24,70
2023-04-04,70
2022-06-29,70
2021-11-16,70
2023-07-23,70
2022-01-19,70
2020-10-03,70
2022-10-15,70
2022-06-08,69
2022-02-23,69
2022-07-07,69
2022-08-14,69
2023-06-16,69
2023-05-15,69
2023-10-22,69
2022-08-08,69
2022-12-01,69
2017-10-25,69
2023-10-05,69
2023-03-02,69
2022-01-25,69
2021-06-15,69
2022-03-29,69
2022-02-08,69
2022-07-27,69
2021-01-11,69
